Authors,Title,Journal/Booktitle,Volume/Pages,DOI,Type
"Wesley K. G. Assunção, Roberto E. Lopez-Herrejon, Tewfik Ziadi, Jabier Martinez",REVE 2021: 9th International Workshop on Reverse Variability Engineering.,SPLC (A),2021: 203,https://doi.org/10.1145/3461001.3473054,inproceedings
"Gabriela Karoline Michelon, Lukas Linsbauer, Wesley K. G. Assunção, Stefan Fischer 0006, Alexander Egyed","A Hybrid Feature Location Technique for Re-engineeringSingle Systems into
                Software Product Lines.",VaMoS,2021: 11:1-11:9,https://doi.org/10.1145/3442391.3442403,inproceedings
"Wesley K. G. Assunção, Thelma Elita Colanzi, Luiz Carvalho, Juliana Alves Pereira, Alessandro F. Garcia 0001, Maria Julia de Lima, Carlos Lucena","A Multi-Criteria Strategy for Redesigning Legacy Features as Microservices: An
                Industrial Case Study.",SANER,2021: 377-387,https://doi.org/10.1109/SANER50967.2021.00042,inproceedings
"Wesley K. G. Assunção, Silvia R. Vergilio, Roberto E. Lopez-Herrejon","Automatic extraction of product line architecture and feature models from UML
                class diagram variants.",Inf. Softw. Technol.,117(2020): ,https://doi.org/10.1016/j.infsof.2019.106198,article
"Thelma Elita Colanzi, Wesley K. G. Assunção, Silvia R. Vergilio, Paulo Roberto Farah, Giovani Guizzo","The Symposium on Search-Based Software Engineering: Past, Present and Future.",Inf. Softw. Technol.,127(2020): 106372,https://doi.org/10.1016/j.infsof.2020.106372,article
"Willian Douglas Ferrari Mendonça, Wesley K. G. Assunção, Lucas V. Estanislau, Silvia R. Vergilio, Alessandro Garcia 0001","Towards a Microservices-Based Product Line with Multi-Objective Evolutionary
                Algorithms.",CEC,2020: 1-8,https://doi.org/10.1109/CEC48606.2020.9185776,inproceedings
"Luiz Carvalho, Alessandro Garcia 0001, Thelma Elita Colanzi, Wesley K. G. Assunção, Maria Julia de Lima, Baldoino Fonseca, Márcio Ribeiro 0001, Carlos Lucena",Search-based many-criteria identification of microservices from legacy systems.,GECCO Companion,2020: 305-306,https://doi.org/10.1145/3377929.3390030,inproceedings
"Diego Fernandes da Silva, Luiz Fernando Okada, Thelma Elita Colanzi, Wesley K. G. Assunção",Enhancing search-based product line design with crossover operators.,GECCO,2020: 1250-1258,https://doi.org/10.1145/3377930.3390215,inproceedings
"Luiz Carvalho, Alessandro F. Garcia 0001, Thelma Elita Colanzi, Wesley K. G. Assunção, Juliana Alves Pereira, Baldoino Fonseca, Márcio Ribeiro 0001, Maria Julia de Lima, Carlos Lucena","On the Performance and Adoption of Search-Based Microservice Identification with
                toMicroservices.",ICSME,2020: 569-580,https://doi.org/10.1109/ICSME46990.2020.00060,inproceedings
"Luciane Baldo Nicolodi, Thelma Elita Colanzi, Wesley K. G. Assunção",Architectural Feature Re-Modularization for Software Product Line Evolution.,SBCARS,2020: 31-40,https://doi.org/10.1145/3425269.3425271,inproceedings
