Authors,Title,Journal/Booktitle,Volume/Pages,DOI,Type
"George Mathew, Kathryn T. Stolee",Cross-Language Code Search using Static and Dynamic Analyses.,CoRR,abs/2106.09173(2021): ,https://arxiv.org/abs/2106.09173,article
"Suvodeep Majumder, Joymallya Chakraborty, Gina R. Bai, Kathryn T. Stolee, Tim Menzies",Fair Enough: Searching for Sufficient Measures of Fairness.,CoRR,abs/2110.13029(2021): ,https://arxiv.org/abs/2110.13029,article
"Justin Middleton, Emerson R. Murphy-Hill, Kathryn T. Stolee","Data Analysts and Their Software Practices: A Profile of the Sabermetrics
                Community and Beyond.",Proc. ACM Hum. Comput. Interact.,4(2020): 052:1-052:27,https://doi.org/10.1145/3392859,article
"George Mathew, Chris Parnin, Kathryn T. Stolee",SLACC: simion-based language agnostic code clones.,ICSE,2020: 210-221,https://doi.org/10.1145/3377811.3380407,inproceedings
"Gina R. Bai, Joshua Kayani, Kathryn T. Stolee","How Graduate Computing Students Search When Using an Unfamiliar Programming
                Language.",ICPC,2020: 160-171,https://doi.org/10.1145/3387904.3389274,inproceedings
"Peipei Wang, Chris Brown 0001, Jamie A. Jennings, Kathryn T. Stolee",An Empirical Study on Regular Expression Bugs.,MSR,2020: 103-113,https://doi.org/10.1145/3379597.3387464,inproceedings
"Susan R. Fisk, Kathryn T. Stolee, Lina Battestilli","A Lightweight Intervention to Decrease Gender Bias in Student Evaluations of
                Teaching.",RESPECT,2020: 1-4,https://doi.org/10.1109/RESPECT49803.2020.9272454,inproceedings
"George Mathew, Chris Parnin, Kathryn T. Stolee",SLACC: Simion-based Language Agnostic Code Clones.,CoRR,abs/2002.03039(2020): ,https://arxiv.org/abs/2002.03039,article
"Kai Presler-Marshall, Eric Horton, Sarah Heckman, Kathryn T. Stolee","Wait wait. No, tell me: analyzing selenium configuration effects on test
                flakiness.",AST@ICSE,2019: 7-13,https://doi.org/10.1109/AST.2019.000-1,inproceedings
"Di Chen, Kathryn T. Stolee, Tim Menzies",Replication can improve prior results: a GitHub study of pull request acceptance.,ICPC,2019: 179-190,https://doi.org/10.1109/ICPC.2019.00037,inproceedings
"Gina R. Bai, Brian Clee, Nischal Shrestha, Carl Chapman, Cimone Wright, Kathryn T. Stolee",Exploring tools and strategies used during regular expression composition tasks.,ICPC,2019: 197-208,https://doi.org/10.1109/ICPC.2019.00039,inproceedings
"Peng Sun, Chris Brown 0001, Ivan Beschastnikh, Kathryn T. Stolee",Mining Specifications from Documentation using a Crowd.,SANER,2019: 275-286,https://doi.org/10.1109/SANER.2019.8668025,inproceedings
"Peipei Wang, Gina R. Bai, Kathryn T. Stolee",Exploring Regular Expression Evolution.,SANER,2019: 502-513,https://doi.org/10.1109/SANER.2019.8667972,inproceedings
